molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL355248,CS(=O)(=O)c1ccccc1S(=O)(=O)N[C@H]1CC[C@H]([C@H](N)C(=O)N2CCCC2)C1,150.0,active
CHEMBL170051,N[C@H](C(=O)N1CCCC1)[C@H]1CCC[C@H](OC(=O)Nc2ccc(I)cc2)C1,330.0,active
CHEMBL171733,N[C@H](C(=O)N1CCCC1)[C@H]1CCC[C@@H](OC(=O)Nc2ccc(I)cc2)C1,110.0,active
CHEMBL355051,N[C@H](C(=O)N1CCCC1)[C@H]1CCC[C@H](O)C1,290.0,active
CHEMBL433533,COc1ccc(NC(=O)O[C@H]2CCC[C@H]([C@H](N)C(=O)N3CCSC3)C2)cc1,420.0,active
CHEMBL171290,N[C@H](C(=O)N1CCCC1)[C@@H]1CC[C@H](NS(=O)(=O)c2ccc(S(N)(=O)=O)cc2)C1,250.0,active
CHEMBL355244,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@@H](O)C1,4600.0,intermediate
CHEMBL352354,COc1ccc(NC(=O)O[C@@H]2CC[C@H]([C@H](N)C(=O)N3CCSC3)C2)cc1,240.0,active
CHEMBL352402,N[C@H](C(=O)N1CCCC1)[C@@H]1CC[C@@H](OC(=O)Nc2ccc(I)cc2)C1,110.0,active
CHEMBL352520,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)Nc2cccc3ccccc23)C1,43.0,active
CHEMBL172057,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](OC(=O)Nc2ccc(I)cc2)C1,180.0,active
CHEMBL353590,COc1ccc(NC(=O)O[C@@H]2CC[C@H]([C@H](N)C(=O)N3CCCC3)C2)cc1,1100.0,intermediate
CHEMBL355479,N[C@H](C(=O)N1CCCC1)[C@@H]1CC[C@@H](NC(=O)Nc2cccc3ccccc23)C1,94.0,active
CHEMBL352548,CS(=O)(=O)NCCS(=O)(=O)N[C@H]1CC[C@H]([C@H](N)C(=O)N2CCCC2)C1,95.0,active
CHEMBL22310,N[C@H](C(=O)N1CC[C@H](F)C1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(F)cc2F)CC1,48.0,active
CHEMBL22545,N[C@H](C(=O)N1C[C@H](F)[C@@H](F)C1)[C@H]1CC[C@H](NC(=O)OCc2ccccc2)CC1,830.0,active
CHEMBL23223,N[C@H](C(=O)N1CCSC1)C1CCCCC1,89.0,active
CHEMBL23051,N[C@H](C(=O)N1C[C@@H](F)[C@H](F)C1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)CC1,270.0,active
